angle (deg), positron yield / pC, positron yield error / pC, optimal delay (ps), optimal delay error (ps)
0, 6.002160154908765e-05, 6.745928500484558e-06, 136.02974914589737, 15.288611733004023
10, 5.531708307943859e-05, 5.9786857810128444e-06, 134.24242424242425, 26.6687327023347
20, 5.716552340115286e-05, 2.991668845034735e-06, 126.0, 14.051459930227848 
30, 5.976320349129623e-05, 1.0882402439194106e-06, 116.72727272727272, 12.44919888188531
40, 5.5921451689712965e-05, 3.845729541979448e-06, 111.57575757575758, 14.42424242424242
50, 6.371109282309874e-05, 3.5866793056247204e-06, 124.96969696969697, 13.590630381250884
60, 5.7541107454762485e-05, 6.925473516014104e-06, 137.33333333333334, 18.315067284165455
70, 5.993727685095866e-05, 8.659677203566064e-07, 121.87878787878788, 10.094866818742798
80, 5.678694012601562e-05, 5.618733840658866e-06, 114.66666666666666, 25.529902883295243
90, 5.6806411486669314e-05, 3.2571406524283363e-06, 132.18181818181816, 16.80373389788494