,0um,50um,150um,200um,250um,300um,350um,400um,450um,500um
3.58E+00,9.68E+22,7.50E+22,5.20E+22,4.73E+22,3.79E+22,2.82E+22,1.86E+22,9.22E+21,4.87E+21,4.87E+21
3.60E+00,6.27E+22,4.58E+22,4.16E+22,2.29E+22,1.85E+22,2.34E+22,1.85E+22,4.70E+21,4.70E+21,4.70E+21
3.63E+00,9.42E+22,5.39E+22,4.50E+22,4.02E+22,4.04E+22,3.13E+22,3.14E+22,2.70E+22,1.38E+22,9.14E+21
3.65E+00,8.69E+22,6.24E+22,5.34E+22,2.24E+22,8.97E+21,8.57E+21,1.34E+22,1.36E+22,1.80E+22,1.80E+22
3.67E+00,8.89E+22,8.54E+22,6.76E+22,3.14E+22,2.24E+22,2.24E+22,2.67E+22,2.24E+22,2.69E+22,2.27E+22
3.70E+00,8.68E+22,1.07E+23,7.66E+22,4.03E+22,3.57E+22,3.10E+22,1.74E+22,1.74E+22,1.74E+22,1.32E+22
3.72E+00,6.20E+22,7.30E+22,8.65E+22,6.79E+22,5.86E+22,3.62E+22,1.81E+22,1.81E+22,1.81E+22,1.81E+22
3.75E+00,6.82E+22,4.70E+22,3.41E+22,3.41E+22,2.57E+22,2.13E+22,2.56E+22,2.17E+22,1.72E+22,1.72E+22
3.78E+00,7.62E+22,7.14E+22,5.31E+22,4.82E+22,2.66E+22,1.38E+22,1.38E+22,9.13E+21,9.13E+21,9.05E+21
3.80E+00,5.25E+22,6.08E+22,4.34E+22,2.61E+22,3.03E+22,3.03E+22,2.57E+22,2.16E+22,8.67E+21,8.67E+21
3.83E+00,1.06E+23,8.27E+22,6.05E+22,5.29E+22,3.14E+22,3.14E+22,2.24E+22,2.24E+22,2.24E+22,2.22E+22
3.85E+00,6.35E+22,4.72E+22,2.57E+22,2.18E+22,8.77E+21,8.77E+21,1.31E+22,1.74E+22,8.75E+21,4.35E+21
3.88E+00,7.19E+22,6.42E+22,5.60E+22,4.33E+22,3.88E+22,3.47E+22,2.59E+22,2.61E+22,1.75E+22,1.75E+22
3.90E+00,5.20E+22,4.61E+22,4.18E+22,2.50E+22,7.65E+21,7.41E+21,7.25E+21,7.25E+21,4.04E+21,4.04E+21
3.92E+00,6.88E+22,7.30E+22,5.98E+22,4.37E+22,3.50E+22,2.20E+22,1.76E+22,1.31E+22,1.31E+22,1.31E+22
3.95E+00,4.18E+22,3.84E+22,3.44E+22,1.70E+22,2.94E+22,2.94E+22,2.52E+22,2.11E+22,1.67E+22,1.27E+22
3.97E+00,7.38E+22,3.40E+22,3.38E+22,1.69E+22,8.15E+21,1.68E+22,1.29E+22,1.29E+22,1.29E+22,1.29E+22
4.00E+00,9.62E+22,5.78E+22,4.58E+22,3.29E+22,2.90E+22,2.49E+22,1.27E+22,1.27E+22,8.42E+21,8.42E+21
4.03E+00,5.66E+22,4.47E+22,3.24E+22,2.42E+22,1.64E+22,2.05E+22,2.46E+22,2.46E+22,2.05E+22,1.69E+22
4.05E+00,6.35E+22,4.08E+22,3.70E+22,3.30E+22,2.91E+22,2.08E+22,1.24E+22,1.24E+22,1.25E+22,8.41E+21
4.07E+00,5.28E+22,4.92E+22,4.49E+22,4.49E+22,3.70E+22,2.85E+22,1.62E+22,8.11E+21,4.25E+21,4.24E+21
4.10E+00,6.76E+22,6.55E+22,3.27E+22,2.84E+22,2.03E+22,1.19E+22,1.19E+22,7.64E+21,7.66E+21,7.66E+21
4.13E+00,5.52E+22,2.78E+22,3.61E+22,3.27E+22,3.28E+22,2.10E+22,1.68E+22,1.68E+22,1.68E+22,2.07E+22
4.15E+00,1.94E+22,7.89E+21,1.67E+22,1.26E+22,1.22E+22,1.22E+22,8.07E+21,8.07E+21,4.24E+21,4.24E+21
4.18E+00,6.66E+22,4.35E+22,1.57E+22,1.57E+22,8.20E+21,4.01E+21,4.01E+21,4.01E+21,7.96E+21,1.19E+22
4.20E+00,6.21E+22,3.60E+22,2.40E+22,2.00E+22,2.00E+22,1.62E+22,1.20E+22,1.20E+22,1.20E+22,8.01E+21
4.22E+00,5.43E+22,4.61E+22,1.89E+22,3.76E+21,3.77E+21,3.77E+21,3.77E+21,0.00E+00,0.00E+00,0.00E+00
4.25E+00,4.81E+22,4.03E+22,2.87E+22,1.93E+22,1.96E+22,1.55E+22,1.20E+22,1.20E+22,1.20E+22,1.20E+22
4.28E+00,5.78E+22,2.71E+22,1.52E+22,1.15E+22,1.15E+22,1.17E+22,3.89E+21,3.89E+21,3.89E+21,3.89E+21
4.30E+00,4.41E+22,4.24E+22,2.73E+22,8.00E+21,4.03E+21,4.03E+21,4.03E+21,0.00E+00,0.00E+00,0.00E+00
4.32E+00,2.99E+22,2.30E+22,1.93E+22,1.56E+22,1.56E+22,1.87E+22,1.46E+22,1.46E+22,7.63E+21,7.63E+21
4.35E+00,5.05E+22,2.83E+22,2.46E+22,8.84E+21,8.84E+21,1.28E+22,1.28E+22,1.28E+22,4.94E+21,4.05E+21
4.38E+00,2.53E+22,1.44E+22,1.47E+22,1.88E+22,1.88E+22,1.50E+22,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.40E+00,4.56E+22,3.11E+22,3.47E+22,2.32E+22,1.94E+22,1.54E+22,1.54E+22,1.18E+22,7.91E+21,7.91E+21
4.43E+00,3.05E+22,3.39E+22,2.30E+22,1.55E+22,1.15E+22,7.58E+21,1.15E+22,7.71E+21,7.71E+21,7.71E+21
4.45E+00,3.76E+22,2.29E+22,1.86E+22,1.50E+22,3.94E+21,3.94E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.47E+00,3.40E+22,2.65E+22,1.89E+22,1.89E+22,1.16E+22,1.54E+22,1.15E+22,1.15E+22,7.73E+21,7.73E+21
4.50E+00,5.38E+22,4.02E+22,2.93E+22,1.85E+22,1.49E+22,7.55E+21,7.55E+21,7.55E+21,7.55E+21,3.75E+21
4.53E+00,5.45E+22,2.58E+22,1.12E+22,1.47E+22,1.45E+22,1.45E+22,6.97E+21,3.50E+21,3.50E+21,3.50E+21
4.55E+00,3.22E+22,1.43E+22,1.43E+22,1.08E+22,3.78E+21,3.79E+21,7.40E+21,3.79E+21,3.79E+21,3.79E+21
4.57E+00,2.47E+22,6.89E+21,0.00E+00,0.00E+00,0.00E+00,3.82E+21,3.82E+21,3.82E+21,3.82E+21,3.82E+21
4.60E+00,2.19E+22,2.99E+22,2.63E+22,2.63E+22,1.88E+22,1.49E+22,1.12E+22,1.11E+22,1.11E+22,1.11E+22
4.63E+00,3.07E+22,1.39E+22,1.08E+22,1.44E+22,1.07E+22,7.07E+21,7.07E+21,3.42E+21,3.42E+21,3.42E+21
4.65E+00,3.91E+22,2.07E+22,2.41E+22,1.74E+22,1.06E+22,1.06E+22,1.08E+22,6.96E+21,6.96E+21,6.96E+21
4.68E+00,2.73E+22,1.77E+22,1.07E+22,1.07E+22,1.07E+22,1.04E+22,1.04E+22,1.03E+22,1.03E+22,1.03E+22
4.70E+00,2.76E+22,2.77E+22,1.42E+22,3.75E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.51E+21
4.72E+00,2.81E+22,2.09E+22,1.41E+22,1.05E+22,1.05E+22,6.95E+21,6.95E+21,3.57E+21,3.57E+21,3.57E+21
4.75E+00,1.71E+22,3.26E+21,0.00E+00,3.59E+21,7.09E+21,7.09E+21,3.50E+21,3.50E+21,3.50E+21,0.00E+00
4.78E+00,5.07E+22,3.19E+22,1.82E+22,1.08E+22,7.23E+21,3.67E+21,3.67E+21,3.67E+21,3.67E+21,3.67E+21
4.80E+00,3.03E+22,9.31E+21,9.22E+21,2.22E+21,2.22E+21,2.22E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.82E+00,3.44E+22,2.80E+22,2.10E+22,1.44E+22,1.09E+22,7.23E+21,7.23E+21,7.23E+21,3.57E+21,3.57E+21
4.85E+00,2.64E+22,2.36E+22,1.71E+22,2.38E+22,3.10E+22,2.41E+22,1.74E+22,7.13E+21,3.64E+21,3.64E+21
4.88E+00,3.03E+22,1.68E+22,1.04E+22,1.38E+22,7.16E+21,3.56E+21,3.56E+21,3.42E+21,3.42E+21,3.42E+21
4.90E+00,2.78E+22,1.39E+22,6.81E+21,6.81E+21,1.03E+22,1.03E+22,1.03E+22,1.03E+22,6.70E+21,3.21E+21
4.93E+00,2.71E+22,1.70E+22,1.03E+22,3.55E+21,3.55E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.95E+00,2.99E+22,2.31E+22,2.65E+22,1.99E+22,1.67E+22,6.44E+21,3.33E+21,3.33E+21,3.33E+21,3.33E+21
4.97E+00,4.38E+22,3.03E+22,2.68E+22,1.34E+22,1.34E+22,3.52E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E+00,3.99E+22,4.02E+22,3.30E+22,2.31E+22,2.32E+22,2.31E+22,1.66E+22,6.67E+21,0.00E+00,0.00E+00
5.05E+00,4.70E+22,5.91E+22,3.28E+22,2.62E+22,1.66E+22,9.79E+21,1.00E+22,6.86E+21,3.45E+21,0.00E+00
5.10E+00,4.60E+22,3.33E+22,3.31E+22,1.97E+22,1.66E+22,1.32E+22,1.00E+22,6.88E+21,1.01E+22,1.01E+22
5.15E+00,3.56E+22,4.23E+22,1.97E+22,1.93E+22,9.43E+21,6.44E+21,6.44E+21,3.06E+21,3.06E+21,0.00E+00
5.20E+00,6.43E+22,4.54E+22,3.27E+22,1.95E+22,1.31E+22,6.69E+21,6.68E+21,6.68E+21,6.68E+21,6.68E+21
5.25E+00,4.83E+22,1.95E+22,1.94E+22,1.28E+22,1.28E+22,9.55E+21,6.51E+21,0.00E+00,3.15E+21,3.15E+21
5.30E+00,2.89E+22,2.64E+22,1.72E+22,1.09E+22,1.06E+22,7.32E+21,4.31E+21,4.31E+21,4.31E+21,6.42E+21
5.35E+00,4.34E+22,2.19E+22,2.18E+22,1.54E+22,9.20E+21,5.93E+21,2.99E+21,0.00E+00,0.00E+00,0.00E+00
5.40E+00,3.25E+22,2.95E+22,2.10E+22,1.51E+22,9.22E+21,9.22E+21,9.22E+21,6.09E+21,6.20E+21,6.20E+21
5.45E+00,3.74E+22,3.11E+22,2.19E+22,1.55E+22,9.37E+21,6.15E+21,3.24E+21,3.24E+21,3.24E+21,0.00E+00
5.50E+00,3.50E+22,3.26E+22,1.82E+22,9.19E+21,9.18E+21,6.12E+21,6.12E+21,0.00E+00,0.00E+00,0.00E+00
5.55E+00,3.57E+22,2.11E+22,1.52E+22,1.22E+22,1.22E+22,6.02E+21,2.88E+21,0.00E+00,0.00E+00,0.00E+00
5.60E+00,3.56E+22,2.71E+22,1.78E+22,5.66E+21,2.81E+21,2.81E+21,0.00E+00,2.96E+21,2.96E+21,0.00E+00
5.65E+00,1.45E+22,8.96E+21,8.96E+21,1.20E+22,6.14E+21,6.14E+21,6.14E+21,6.14E+21,0.00E+00,0.00E+00
5.70E+00,3.56E+22,1.81E+22,1.19E+22,6.11E+21,3.06E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.75E+00,3.07E+22,2.22E+22,1.65E+22,7.76E+21,7.92E+21,7.92E+21,5.02E+21,5.02E+21,0.00E+00,0.00E+00
5.80E+00,3.11E+22,2.02E+22,8.85E+21,1.16E+22,5.68E+21,5.61E+21,2.88E+21,2.88E+21,2.88E+21,2.88E+21
5.85E+00,5.69E+21,5.69E+21,2.85E+21,2.89E+21,2.89E+21,5.71E+21,5.71E+21,2.89E+21,2.89E+21,2.89E+21
5.90E+00,2.87E+22,1.42E+22,8.59E+21,5.94E+21,5.95E+21,0.00E+00,2.83E+21,0.00E+00,0.00E+00,0.00E+00
5.95E+00,1.98E+22,8.42E+21,5.82E+21,2.80E+21,2.81E+21,2.81E+21,2.81E+21,0.00E+00,0.00E+00,0.00E+00
6.00E+00,1.02E+23,5.29E+22,3.65E+22,3.39E+22,2.82E+22,2.24E+22,1.96E+22,1.67E+22,1.41E+22,1.14E+22
6.20E+00,5.91E+22,4.85E+22,2.70E+22,3.22E+22,2.14E+22,1.60E+22,1.60E+22,1.32E+22,8.04E+21,8.04E+21
6.40E+00,4.71E+22,2.13E+22,1.47E+22,9.50E+21,6.78E+21,5.47E+21,2.74E+21,2.74E+21,2.74E+21,2.74E+21
6.60E+00,5.28E+22,3.06E+22,1.28E+22,1.28E+22,5.07E+21,5.06E+21,0.00E+00,0.00E+00,2.51E+21,2.51E+21
6.80E+00,4.65E+22,2.70E+22,2.23E+22,1.97E+22,1.25E+22,1.25E+22,9.94E+21,7.42E+21,7.42E+21,2.54E+21
7.00E+00,1.93E+22,1.68E+22,1.43E+22,4.98E+21,9.79E+21,7.28E+21,7.28E+21,4.89E+21,4.89E+21,2.47E+21
7.20E+00,2.80E+22,2.59E+22,1.89E+22,1.90E+22,1.66E+22,7.18E+21,4.83E+21,4.72E+21,2.42E+21,2.42E+21
7.40E+00,2.44E+22,1.77E+22,1.31E+22,8.80E+21,6.64E+21,2.16E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00
7.60E+00,2.55E+22,1.71E+22,1.05E+22,1.05E+22,8.41E+21,6.38E+21,2.08E+21,0.00E+00,0.00E+00,0.00E+00
7.80E+00,2.16E+22,1.72E+22,1.08E+22,6.44E+21,6.44E+21,2.04E+21,2.04E+21,2.04E+21,2.04E+21,2.04E+21
8.00E+00,1.04E+22,8.32E+21,8.32E+21,2.02E+21,2.02E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
8.20E+00,1.24E+22,6.17E+21,1.93E+21,3.99E+21,3.99E+21,3.99E+21,3.99E+21,1.92E+21,1.92E+21,1.92E+21
8.40E+00,9.87E+21,2.02E+21,2.02E+21,2.02E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
8.60E+00,5.74E+21,3.89E+21,3.85E+21,3.85E+21,3.82E+21,1.95E+21,0.00E+00,1.93E+21,1.93E+21,1.93E+21
8.80E+00,5.42E+21,1.97E+21,1.97E+21,5.65E+21,1.79E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.88E+21
9.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
9.20E+00,3.67E+21,1.77E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
9.40E+00,1.83E+21,1.83E+21,1.83E+21,1.83E+21,1.83E+21,1.83E+21,1.83E+21,0.00E+00,0.00E+00,0.00E+00
9.60E+00,9.97E+21,6.64E+21,6.77E+21,6.77E+21,3.31E+21,3.31E+21,1.66E+21,1.66E+21,0.00E+00,1.73E+21
9.80E+00,3.08E+22,2.41E+22,1.21E+22,8.74E+21,6.95E+21,6.94E+21,5.16E+21,5.16E+21,5.16E+21,1.62E+21
1.00E+01,1.60E+23,1.02E+23,6.01E+22,3.86E+22,3.37E+22,2.55E+22,1.53E+22,1.37E+22,1.19E+22,1.18E+22
1.05E+01,3.11E+21,1.60E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.10E+01,1.57E+21,1.57E+21,1.57E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.15E+01,1.53E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.20E+01,1.47E+21,2.79E+21,2.79E+21,2.79E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.25E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.30E+01,1.30E+21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.35E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.40E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.45E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.55E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.60E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.65E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.70E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.75E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.80E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.85E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.90E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.95E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.40E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.60E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.80E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.40E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.60E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.80E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
6.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
6.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
7.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
7.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
8.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
8.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
9.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
9.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
